codigo_fornecedor,classificacao,conta_codigo_reduzido,conta_descricao
1714,4.01.04.01.0021,40104010021,RETIRADA DO LIXO RECICLÁVEL
2262,4.02.01.02.0048,40201020048,AQUISIÇÃO DE EQUIPAMENTOS PARA ACADEMIA
2262,4.01.02.02.0041,40102020041,REPAROS NOS APARELHOS DA ACADEMIA
1988,4.01.04.01.0004,40104010004,TRATAMENTO E LIMPEZA DA PISCINA
2955,4.01.02.02.0041,40102020041,REPAROS NOS APARELHOS DA ACADEMIA
2032,4.02.03.06.0124,40203060124,INSTALAÇÃO DE LEITOR DE BIOMETRIA FACIAL
3487,4.01.02.02.0066,40102020066,MANUTENÇÃO DA CAIXA DÁGUA ELEVADA
2344,4.02.01.02.0038,40201020038,AQUISIÇÃO DE APARELHO CELULAR
2344,4.02.03.06.0100,40203060100,AQUISIÇÃO DE APARELHO CELULAR
1246,4.02.03.01.0022,40203010022,AQUISIÇÃO DE BRINQUEDOS PARA O PARQUINHO
0796,4.02.03.06.0014,40203060014,COBERTURA DO BICICLETÁRIO
0796,4.01.02.02.0036,40102020036,MATERIAIS MANUTENÇÕES DIVERSAS
0796,4.02.03.01.0001,40203010001,AQUISIÇÃO DE UTENSILIOS PARA O SALÃO DE FESTAS
0796,4.01.02.02.0004,40102020004,MATERIAIS DE LIMPEZA E HIGIENE
0796,4.02.03.07.0008,40203070008,REFORMA DA SAUNA - MATERIAIS
0796,4.02.03.06.0026,40203060026,REFORMA DO DECK DA PISCINA - MATERIAL
0796,4.01.02.02.0054,40102020054,MANUTENÇÃO DA CARRIOLA
0796,4.01.02.02.0011,40102020011,MATERIAIS HIDRÁULICOS
0796,4.02.03.06.0019,40203060019,REFORMA DA GARAGEM - MATERIAIS
0796,4.01.02.02.0071,40102020071,MANUTENÇÃO DO PORTÃO DE SAÍDA DE VEÍCULOS (DESUSO)
0796,4.01.02.02.0010,40102020010,MATERIAIS ELÉTRICOS/LÂMPADAS
2207,4.02.03.05.0004,40203050004,REPAROS NA BOMBA DA CAIXA DÁGUA
2207,4.02.03.08.0019,40203080019,VALORES PAGOS A SEREM DEVOLVIDOS
1278,4.02.03.11.0028,40203110028,LIMPEZA E DESINFECÇÃO DAS CAIXAS DÁGUA
1663,4.02.03.05.0004,40203050004,REPAROS NA BOMBA DA CAIXA DÁGUA
1663,4.01.02.02.0084,40102020084,MANUTENÇÃO DA BOIA/BOMBA DA CAIXA DE ÁGUA
1663,4.01.02.02.0009,40102020009,MANUTENÇÃO HIDRÁULICA
1663,4.02.03.08.0019,40203080019,VALORES PAGOS A SEREM DEVOLVIDOS
1803,4.01.02.02.0029,40102020029,MANUTENÇÃO DE IMPRESSORA
0768,4.01.02.02.0018,40102020018,MANUTENÇÃO EXTINTORES E MANGUEIRAS DE INCÊNDIO
0768,4.01.02.02.0032,40102020032,MANUTENÇÃO DAS MANGUEIRAS DE INCÊNDIO
0768,4.01.02.02.0031,40102020031,MANUTENÇÃO/RECARGA DOS EXTINTORES DE INCÊNDIO
1159,4.01.01.03.0002,40101030002,SERVIÇO DE PORTARIA PRESENCIAL - MENSAL
1159,4.01.01.03.0005,40101030005,SERVIÇO DE PORTARIA/LIMPEZA/ZELADORIA - MENSAL
2922,4.02.03.10.0008,40203100008,MATERIAL DE LIMPEZA E HIGIENE
2922,4.01.02.02.0004,40102020004,MATERIAIS DE LIMPEZA E HIGIENE
1368,4.02.03.06.0030,40203060030,REFORMA DA GARAGEM - OUTROS
1368,4.02.03.06.0122,40203060122,REPAROS NOS MUROS DA AREA COMUM
1199,4.01.04.01.0006,40104010006,TRATAMENTO DO POÇO ARTESIANO
1199,4.02.03.10.0004,40203100004,ANALISE E TRATAMENTO DA ÁGUA DO POÇO ARTESIANO
1199,4.02.03.10.0012,40203100012,ANALISE COMPLETA DA ÁGUA DO POÇO ARTESIANO
0756,4.01.01.01.0015,40101010015,AUXILIO ALIMENTAÇÃO REF. EMPREGADOS
0756,4.01.01.01.0027,40101010027,CESTA DE NATAL PARA EMPREGADO(S)
0756,4.02.03.09.0011,40203090011,GRATIFICAÇÃO DE FIM DE ANO PARA EMPREGADOS
1205,4.02.03.06.0015,40203060015,INSTALAÇÃO DE GUARDA-CORPO NA PISCINA
